i,n_cfs,validity,proximity,sparsity,diversity,plausibility,actionability,wrong_dir_violations,immutable_violations
70,5,0.8,1.433939393939394,0.0761904761904762,13.8,4.404994913975705,0.7,0.6,0.0
71,5,0.8,1.2484848484848485,0.06666666666666667,20.46,3.045531075798932,0.7,0.4,0.0
72,5,1.0,2.0242424242424244,0.0761904761904762,23.34,4.026746870349209,0.7,0.6,0.0
73,5,1.0,1.1618181818181816,0.0761904761904762,12.76,4.426787642778943,1.0,0.0,0.0
74,5,0.6,1.4496969696969697,0.047619047619047616,30.22,8.513064306565001,0.8,0.0,0.0
75,5,1.0,1.4703030303030302,0.05714285714285714,4.82,4.103684845665825,1.0,0.0,0.0
76,5,0.6,1.476363636363636,0.06666666666666667,18.28,3.1705235051585885,0.7,0.6,0.0
77,5,0.6,1.0015151515151515,0.05714285714285714,17.559999999999995,4.070150296734363,0.5,0.6,0.0
78,5,1.0,1.1633333333333333,0.06666666666666667,8.26,3.2802400604946187,0.6,0.4,0.0
79,5,0.2,0.5800000000000001,0.047619047619047616,2.6,3.7548374040674775,0.5,0.4,0.0
80,5,0.8,1.4509090909090907,0.05714285714285714,10.26,4.0970546544073,0.8,0.2,0.0
81,5,0.8,1.493030303030303,0.06666666666666667,18.659999999999997,5.4456232905966555,0.9,0.2,0.0
82,5,1.0,1.3233333333333335,0.0761904761904762,9.86,3.0044593867205323,0.6,0.6,0.0
83,5,0.6,1.3951515151515153,0.06666666666666667,14.660000000000002,3.344213689083967,0.4,0.8,0.0
84,5,0.8,1.7939393939393937,0.08571428571428572,11.32,3.9712860122652187,0.6,0.8,0.0
85,5,0.8,1.0606060606060606,0.06666666666666667,8.3,3.118422515508538,0.9,0.2,0.0
86,5,1.0,1.4248484848484848,0.08571428571428572,18.279999999999998,3.6444682996229982,0.6,0.6,0.0
87,5,0.8,1.2045454545454546,0.0761904761904762,9.2,3.008148815455353,0.5,0.6,0.0
88,5,0.6,1.512727272727273,0.0761904761904762,10.780000000000001,2.7224575102900337,0.7,0.6,0.0
89,5,1.0,1.823030303030303,0.08571428571428572,8.559999999999999,4.992252001150415,0.3,1.2,0.0
90,5,1.0,1.137878787878788,0.0761904761904762,13.360000000000003,3.7930126173739294,0.9,0.2,0.0
91,5,0.8,1.6166666666666667,0.08571428571428572,11.2,4.5638912020611055,0.2,1.4,0.0
92,5,0.8,1.093939393939394,0.06666666666666667,19.9,5.114491480561011,0.8,0.4,0.0
93,5,1.0,2.249393939393939,0.0761904761904762,27.22,5.036682002067575,0.8,0.4,0.0
94,5,1.0,1.3127272727272727,0.08571428571428572,11.799999999999999,3.4959571886713565,0.7,0.4,0.0
95,5,0.4,0.9527272727272728,0.05714285714285714,10.16,3.663027009783085,0.7,0.2,0.0
96,5,0.4,0.7715151515151516,0.05714285714285714,15.120000000000001,5.1026075771080235,0.6,0.2,0.0
97,5,0.8,1.2266666666666666,0.0761904761904762,12.459999999999999,4.701920638713346,0.6,0.6,0.0
98,5,1.0,1.4424242424242424,0.06666666666666667,16.2,4.508102233076017,0.8,0.4,0.0
99,5,0.6,1.7172727272727273,0.06666666666666667,33.94,6.830542148680552,0.9,0.2,0.0
