i,n_cfs,validity,proximity,sparsity,diversity,plausibility,actionability,wrong_dir_violations,immutable_violations
97,5,1.0,1.0612121212121213,0.08571428571428572,12.219999999999999,4.547097748927129,1.0,0.0,0.0
98,5,0.8,1.1845454545454546,0.06666666666666667,5.44,3.980098667171367,1.0,0.0,0.0
99,5,0.4,1.1084848484848484,0.047619047619047616,27.919999999999998,8.519572369600704,0.8,0.0,0.0
100,5,0.6,1.3306060606060606,0.06666666666666667,7.459999999999999,3.433941390023837,1.0,0.0,0.0
101,5,0.4,1.2306060606060607,0.047619047619047616,18.78,3.5859674818468577,0.8,0.0,0.0
102,5,0.6,1.8672727272727272,0.06666666666666667,25.220000000000002,3.597770899849652,1.0,0.0,0.0
103,5,0.8,1.490909090909091,0.0761904761904762,8.32,5.113509679988785,1.0,0.0,0.0
104,5,1.0,1.575151515151515,0.0761904761904762,6.840000000000001,3.2091789414166434,1.0,0.0,0.0
105,5,1.0,1.273030303030303,0.05714285714285714,13.38,3.6766231143251513,1.0,0.0,0.0
106,5,0.6,1.493030303030303,0.06666666666666667,16.979999999999997,4.969395123201606,1.0,0.0,0.0
107,5,0.4,1.1642424242424243,0.05714285714285714,14.319999999999999,3.0379263706828703,1.0,0.0,0.0
108,5,0.8,0.822121212121212,0.05714285714285714,3.6199999999999988,4.978578815554203,1.0,0.0,0.0
109,5,0.6,0.9654545454545455,0.06666666666666667,22.46,6.186290298561817,1.0,0.0,0.0
110,5,0.4,1.0887878787878789,0.06666666666666667,15.24,3.596719245955094,1.0,0.0,0.0
111,5,0.8,1.7396969696969697,0.06666666666666667,18.2,2.6350104526726574,1.0,0.0,0.0
112,5,0.6,1.1724242424242424,0.0761904761904762,10.28,3.7699086212167714,1.0,0.0,0.0
113,5,0.6,2.050909090909091,0.0761904761904762,16.48,3.319031954666281,1.0,0.0,0.0
114,5,0.6,1.2572727272727273,0.06666666666666667,19.66,4.452065059225406,1.0,0.0,0.0
115,5,0.8,1.1633333333333336,0.0761904761904762,4.120000000000002,3.6852237620351165,1.0,0.0,0.0
116,5,0.8,0.9272727272727274,0.06666666666666667,21.6,4.074897899346973,1.0,0.0,0.0
117,5,1.0,0.9806060606060607,0.05714285714285714,2.28,2.910284002917555,1.0,0.0,0.0
118,5,1.0,1.6578787878787877,0.08571428571428572,24.640000000000004,5.486502793607975,1.0,0.0,0.0
119,5,1.0,1.205151515151515,0.08571428571428572,5.2,3.1966541375194675,1.0,0.0,0.0
120,5,0.4,1.137878787878788,0.0761904761904762,10.2,2.9697773840136024,1.0,0.0,0.0
121,5,0.8,0.9951515151515151,0.05714285714285714,14.580000000000002,5.356610422838869,0.8,0.0,0.0
