i,n_cfs,validity,proximity,sparsity,diversity,plausibility,actionability,wrong_dir_violations,immutable_violations
77,5,1.0,1.6845454545454543,0.08571428571428572,28.48,3.993697917395447,1.0,0.0,0.0
78,5,1.0,1.0603030303030303,0.05714285714285714,11.58,3.5316955955395954,1.0,0.0,0.0
79,5,0.4,0.703939393939394,0.06666666666666667,10.4,3.7935144909951255,1.0,0.0,0.0
80,5,0.4,1.274848484848485,0.0761904761904762,16.259999999999998,3.9897254943250853,1.0,0.0,0.0
81,5,1.0,1.8836363636363636,0.06666666666666667,29.48,5.377274944064625,1.0,0.0,0.0
82,5,0.8,0.9296969696969697,0.06666666666666667,10.68,3.1074683552540443,1.0,0.0,0.0
83,5,0.6,1.2887878787878788,0.0761904761904762,13.720000000000002,3.2142899231391375,1.0,0.0,0.0
84,5,1.0,1.0084848484848483,0.0761904761904762,6.299999999999999,3.7208600959853424,1.0,0.0,0.0
85,5,0.8,1.1087878787878787,0.0761904761904762,9.58,3.0895120342430538,1.0,0.0,0.0
86,5,0.8,1.3081818181818181,0.08571428571428572,10.879999999999999,3.3297904750034424,1.0,0.0,0.0
87,5,0.8,1.2472727272727273,0.0761904761904762,7.9,3.310886938658242,1.0,0.0,0.0
88,5,0.8,1.02,0.06666666666666667,8.8,2.3753458838767703,1.0,0.0,0.0
89,5,1.0,1.570909090909091,0.0761904761904762,15.579999999999998,4.179478022411227,1.0,0.0,0.0
90,5,0.8,1.038181818181818,0.0761904761904762,10.120000000000001,3.6078125223581234,1.0,0.0,0.0
91,5,0.6,0.9493939393939395,0.06666666666666667,12.4,4.211571865144993,0.8,0.0,0.0
92,5,1.0,1.0927272727272728,0.0761904761904762,16.9,5.0040549598582675,1.0,0.0,0.0
93,5,1.0,2.7636363636363632,0.05714285714285714,6.360000000000001,4.904917644690503,1.0,0.0,0.0
94,5,0.8,1.459090909090909,0.0761904761904762,11.1,3.5790231944598947,1.0,0.0,0.0
95,5,0.6,1.2463636363636366,0.06666666666666667,13.38,3.6172640347614333,1.0,0.0,0.0
96,5,0.6,0.9787878787878789,0.06666666666666667,14.739999999999998,5.173151503566295,1.0,0.0,0.0
97,5,0.4,1.0006060606060605,0.0761904761904762,8.66,4.427482673758326,1.0,0.0,0.0
98,5,1.0,1.2606060606060607,0.06666666666666667,5.12,4.262734293198626,1.0,0.0,0.0
99,5,0.8,1.6151515151515152,0.06666666666666667,27.76,6.24579824223877,1.0,0.0,0.0
100,5,1.0,1.8803030303030304,0.08571428571428572,9.619999999999997,3.6096100004531957,1.0,0.0,0.0
101,5,1.0,2.1618181818181816,0.0761904761904762,3.9199999999999995,3.0136497174521493,1.0,0.0,0.0
102,5,0.8,1.605757575757576,0.06666666666666667,31.859999999999996,4.444604210849827,1.0,0.0,0.0
